tic,time,open,high,low,close,volume,day
688567.sh,2021-11-16,34.42,35.4,34.05,34.37,69694,1
688567.sh,2021-11-17,34.23,34.8,34.02,34.8,45175,2
688567.sh,2021-11-18,35.31,40.98,34.83,39.68,421449,3
688567.sh,2021-11-19,40.0,40.5,37.95,38.48,245120,4
688567.sh,2021-11-22,38.44,40.47,38.43,38.91,191414,0
688567.sh,2021-11-23,39.02,39.44,37.41,37.55,153360,1
688567.sh,2021-11-24,37.55,38.11,36.59,36.68,105567,2
688567.sh,2021-11-25,36.65,38.07,36.6,37.68,110257,3
688567.sh,2021-11-26,38.0,38.95,37.58,37.92,108748,4
688567.sh,2021-11-29,36.99,38.46,36.98,37.56,102999,0
688567.sh,2021-11-30,37.75,38.4,36.6,37.0,103707,1
688567.sh,2021-12-01,37.05,37.56,36.46,36.92,62335,2
688567.sh,2021-12-02,36.86,37.26,35.8,36.24,73782,3
688567.sh,2021-12-03,37.0,38.1,36.13,37.66,163702,4
688567.sh,2021-12-06,37.79,38.53,37.16,37.56,105125,0
688567.sh,2021-12-07,37.99,38.22,35.6,35.9,113340,1
688567.sh,2021-12-08,36.08,36.43,35.52,35.84,72395,2
688567.sh,2021-12-09,35.79,35.88,34.91,35.31,59381,3
688567.sh,2021-12-10,35.65,36.55,35.14,36.23,77736,4
688567.sh,2021-12-13,36.55,39.65,36.51,38.52,249628,0
688567.sh,2021-12-14,38.56,38.79,37.3,38.09,85691,1
688567.sh,2021-12-15,37.99,38.16,36.69,36.76,97737,2
688567.sh,2021-12-16,36.98,37.28,35.62,35.96,87892,3
688567.sh,2021-12-17,36.49,36.49,35.25,35.64,91702,4
688567.sh,2021-12-20,35.96,35.96,34.05,34.9,101735,0
688567.sh,2021-12-21,34.6,35.22,33.98,34.68,78990,1
688567.sh,2021-12-22,34.85,36.23,34.65,35.45,86858,2
688567.sh,2021-12-23,35.44,35.87,34.95,35.09,57585,3
688567.sh,2021-12-24,35.2,35.2,33.03,33.28,93467,4
688567.sh,2021-12-27,33.0,33.63,32.3,32.63,75393,0
688567.sh,2021-12-28,32.87,34.24,32.78,34.0,63817,1
688567.sh,2021-12-29,34.0,34.54,33.85,33.97,47325,2
688567.sh,2021-12-30,34.16,34.36,33.61,33.9,53933,3
688567.sh,2021-12-31,33.76,34.35,33.41,33.65,44058,4
688567.sh,2022-01-04,33.82,34.32,32.91,33.29,55670,1
688567.sh,2022-01-05,33.45,34.03,32.75,33.0,56310,2
688567.sh,2022-01-06,32.89,33.23,32.28,33.01,62420,3
688567.sh,2022-01-07,33.2,33.66,30.79,31.77,92150,4
688567.sh,2022-01-10,31.78,31.95,31.0,31.42,43757,0
688567.sh,2022-01-11,31.54,31.69,29.89,30.04,108063,1
688567.sh,2022-01-12,30.34,31.47,30.18,31.36,78317,2
688567.sh,2022-01-13,31.4,31.63,30.5,30.75,59971,3
688567.sh,2022-01-14,30.48,31.9,30.48,31.2,47415,4
688567.sh,2022-01-17,31.2,31.45,30.78,31.1,49076,0
688567.sh,2022-01-18,31.37,31.37,30.5,30.8,41532,1
688567.sh,2022-01-19,30.89,30.89,29.3,29.6,77257,2
688567.sh,2022-01-20,29.8,29.84,28.8,28.85,47466,3
688567.sh,2022-01-21,28.88,29.47,28.46,28.79,41752,4
688567.sh,2022-01-24,28.66,29.34,28.48,28.78,38179,0
688567.sh,2022-01-25,28.82,29.41,27.97,28.09,51515,1
688567.sh,2022-01-26,28.19,28.52,27.4,28.5,71533,2
688567.sh,2022-01-27,28.72,29.77,28.52,28.88,83407,3
688567.sh,2022-01-28,29.2,29.56,28.0,28.03,58375,4
688567.sh,2022-02-07,28.1,30.27,28.1,29.14,83810,0
688567.sh,2022-02-08,29.34,31.14,28.55,30.85,116767,1
688567.sh,2022-02-09,30.66,31.15,30.3,30.81,67486,2
688567.sh,2022-02-10,30.97,32.45,30.82,31.8,107009,3
688567.sh,2022-02-11,31.84,32.0,31.13,31.66,60072,4
688567.sh,2022-02-14,31.68,32.57,31.0,32.34,62411,0
688567.sh,2022-02-15,32.52,32.55,31.38,32.1,49238,1
688567.sh,2022-02-16,32.3,32.36,31.55,31.84,41919,2
688567.sh,2022-02-17,31.2,32.49,31.03,31.7,58257,3
688567.sh,2022-02-18,31.4,31.67,30.7,30.9,53057,4
688567.sh,2022-02-21,30.77,31.31,30.18,30.3,56499,0
688567.sh,2022-02-22,30.04,30.33,29.0,29.5,74539,1
688567.sh,2022-02-23,29.75,31.46,29.74,31.03,84266,2
688567.sh,2022-02-24,30.56,31.16,29.19,29.79,80999,3
688567.sh,2022-02-25,30.3,31.2,29.93,30.6,59187,4
688567.sh,2022-02-28,30.35,31.2,30.0,30.05,48583,0
688567.sh,2022-03-01,30.49,30.75,29.55,29.86,45972,1
688567.sh,2022-03-02,29.79,29.89,29.1,29.42,37298,2
688567.sh,2022-03-03,29.46,29.74,29.0,29.06,48838,3
688567.sh,2022-03-04,29.0,29.16,28.28,28.59,48018,4
688567.sh,2022-03-07,28.64,28.64,26.89,27.1,61655,0
688567.sh,2022-03-08,27.09,27.35,25.8,26.1,67133,1
688567.sh,2022-03-09,26.24,26.36,24.33,25.8,72865,2
688567.sh,2022-03-10,26.7,27.28,26.31,26.7,64134,3
688567.sh,2022-03-11,26.36,26.65,25.73,26.63,40285,4
688567.sh,2022-03-14,26.49,26.53,25.33,25.37,44417,0
688567.sh,2022-03-15,25.51,25.51,24.01,24.01,59744,1
688567.sh,2022-03-16,24.71,26.08,23.95,25.91,83268,2
688567.sh,2022-03-17,26.3,26.88,26.05,26.05,61659,3
688567.sh,2022-03-18,25.91,26.43,25.6,26.33,51214,4
